prg_file,job_name,comment_de,comment_en,comment_pl,updated_at
ME9K_NG4,STATUS_CO_ABGLEICH,Auslesen des LL-CO-Wertes,Reading out the LL-CO value,Odczyt wartości LL-CO,2026-04-03 01:45:55
ME9K_NG4,STEUERN_CO_ABGLEICH_VERSTELLEN,LL-CO-Wert vorgeben,Specify LL-CO value,Określ wartość LL-CO,2026-04-03 01:45:57
ME9K_NG4,STEUERN_CO_ABGLEICH_PROGRAMMIEREN,LL-CO-WERT programmieren,Program LL-CO-VALUE,Program LL-CO-VALUE,2026-04-03 01:46:00
ME9K_NG4,C_FG_LESEN,Auslesen des Pruefstempels und Interpretation als FG-Nummer,Reading out the test stamp and interpreting it as an FG number,Odczytanie stempla testowego i zinterpretowanie go jako numeru FG,2026-04-03 01:46:03
ME9K_NG4,C_FG_AUFTRAG,Beschreiben des Pruefstempels mit der FG-Nummer,Describe the test stamp with the FG number,Opisz stempel testowy numerem FG,2026-04-03 01:46:06
ME9K_NG4,C_C_LESEN,Codierdaten lesen,Read coding data,Przeczytaj dane kodowania,2026-04-03 01:46:09
ME9K_NG4,C_C_AUFTRAG,Codierdaten schreiben und verifizieren,Write and verify coding data,Zapisz i zweryfikuj dane kodowania,2026-04-03 01:46:12
ME9K_NG4,STATUS_BETRIEBSSTUNDEN,Auslesen des Betriebsstudenzaehlers,Reading out the operating hours counter,Odczyt licznika godzin pracy,2026-04-03 01:46:15
ME9K_NG4,VARIANTE_LOESCHEN,Loeschen der Varianten,Delete the variants,Usuń warianty,2026-04-03 01:46:19
ME9K_NG4,SLP_CONFIG,Auslesen des Sekundaersystems anhand des Datenstandes,Reading out the secondary system based on the data status,Odczyt systemu wtórnego na podstawie stanu danych,2026-04-03 01:46:22
ME9K42,C_FG_SCHREIBEN,Modus  : Default,Mode: Default,Tryb: domyślny,2026-04-05 19:56:57
ME9K42,FS_HEX_LESEN,Fehlerspeicher auslesen als Hex Dump,Read error memory as hex dump,Odczytaj pamięć błędów jako zrzut szesnastkowy,2026-04-05 19:57:42
ME9K42,PRUEFSTEMPEL_LESEN,Modus  : Default,,Tryb: domyślny,2026-04-05 19:57:54
ME9K42,C_CI_LESEN,Modus  : Default,,Tryb: domyślny,2026-04-05 19:57:58
ME9K42,INFO,Information SGBD,,Informacje SGBD,2026-04-05 19:58:02
ME9K42,STEUERN_VVT_ANSCHLAG,Lernen der VVT-Anschlaege,Learning the VVT ​​stops,Nauka zatrzymania VVT,2026-04-05 19:58:34
LWS5,STATUS_DIGITAL,"Bereich: 0, wenn FALSE / 1, wenn TRUE",Range: 0 if FALSE / 1 if TRUE,,2026-04-09 20:13:13
LWS5,STATUS_SG_DIGITAL,"Bereich: 0, wenn FALSE / 1, wenn TRUE",Range: 0 if FALSE / 1 if TRUE,,2026-04-09 20:13:24
LWS5,STATUS_SG_ONLINE,Auslesen der analogen Online-Werte des LWS5,Reading out the analog online values ​​of the LWS5,,2026-04-09 20:13:26
ME9K_5,FS_LESEN_LANG,Fehlerspeicher auslesen,Read out error memory,Odczytaj pamięć błędów,2026-04-10 12:00:05
EWS3,STEUERN_DIGITAL,Ansteuern / Vorgeben digitaler Stati der EWS3,Controlling/specifying digital statuses of the EWS3,,2026-04-13 18:16:06
DSC_MK60,FS_LOESCHEN,Job DIAGNOSE_MODE ist integriert,Job DIAGNOSE_MODE is integrated,Zadanie DIAGNOSE_MODE jest zintegrowane,2026-04-13 19:24:46
